k,persistence,long_only,vol_weight,slippage,commission,max_dd,lambda_dd,lambda_turn,score_mean,score_std
1.2,5,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.04620604176997858,0.006190260893268063
1.0,8,False,True,0.0001,0.0,0.15,0.7,0.2,-0.04644246869011748,0.007207214277903625
0.8,5,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.047242092244180085,0.009613663805031269
1.0,3,True,True,0.0002,0.0,0.15,0.7,0.2,-0.04862662349891733,0.010143498249168733
1.0,3,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.04909560058035429,0.007916558338470716
1.0,8,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.05065161277864012,0.0066112666477062005
1.2,3,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.05131500462037872,0.00803357500498034
1.0,5,False,True,0.0001,0.0,0.1,0.7,0.2,-0.05133116888717053,0.010737678504902266
1.2,3,False,True,0.0002,0.0,0.1,0.7,0.2,-0.05293116421430346,0.00993065274600224
1.0,5,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.05449792929313435,0.009290654926169765
0.8,3,True,True,0.0001,0.0,0.1,0.7,0.2,-0.05492649564638948,0.009246024290502992
0.8,8,True,True,0.0002,0.0,0.1,0.7,0.2,-0.056769465099907365,0.013698701188868864
0.8,5,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.06163534184766486,0.008473389881437537
1.2,3,True,True,0.0002,0.0,0.15,0.7,0.2,-0.06240540259992613,0.007289271830511633
1.2,8,False,True,0.0001,0.0,0.15,0.7,0.2,-0.06248639187155128,0.012098145538121332
0.8,5,False,True,0.0002,0.0,0.15,0.7,0.2,-0.06250892864357428,0.011036889613494857
1.2,8,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.06357593134257924,0.012796484230541855
1.2,5,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.0636834564222614,0.008202972077686612
1.0,5,True,True,0.0001,0.0,0.15,0.7,0.2,-0.06433951672933097,0.009750616093096274
0.8,3,False,True,0.0002,0.0,0.1,0.7,0.2,-0.0652347740629125,0.013406166889048691
1.0,8,True,True,0.0002,0.0,0.1,0.7,0.2,-0.06630113860747368,0.016896842018331446
1.2,3,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.06680516320103123,0.017525679876223308
1.0,8,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.06686546465795806,0.01226263258279195
0.8,5,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.06704058298524018,0.0054624872151781915
1.2,5,False,True,0.0001,0.0,0.1,0.7,0.2,-0.06760004384191254,0.014509484816603416
1.0,5,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.06811637419056155,0.012518374405456372
1.0,3,True,True,0.0001,0.0,0.1,0.7,0.2,-0.06880272871380694,0.01760328354356613
1.0,3,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.06894638853647136,0.010414585434100308
0.8,5,False,True,0.0001,0.0,0.1,0.7,0.2,-0.06963540548088348,0.015250884640442847
1.2,8,True,True,0.0002,0.0,0.1,0.7,0.2,-0.07044265443925313,0.018811199198496265
1.2,3,True,True,0.0001,0.0,0.1,0.7,0.2,-0.07308653602829605,0.019958920735159664
1.2,3,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.07368632260076526,0.011894502130856457
1.0,5,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.0741285567002768,0.014987582144356084
1.2,3,False,True,0.0002,0.0,0.15,0.7,0.2,-0.07519309522977154,0.009395192501790463
1.0,3,False,True,0.0002,0.0,0.1,0.7,0.2,-0.07538862422498543,0.021423662974254996
0.8,3,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.07605922767127479,0.016379457398305087
0.8,3,True,True,0.0001,0.0,0.15,0.7,0.2,-0.07759982501243474,0.010584886271814866
0.8,8,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.07794548975321348,0.012886460271238293
1.0,5,False,True,0.0001,0.0,0.15,0.7,0.2,-0.07824266233424677,0.014851838242059826
0.8,8,True,True,0.0002,0.0,0.15,0.7,0.2,-0.07998906141632706,0.010810585322406726
0.8,5,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.08714124176385607,0.011210451608589017
1.2,8,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.08900003263819234,0.009438987551602045
0.8,3,False,True,0.0002,0.0,0.15,0.7,0.2,-0.09282261672973235,0.015441012475063817
1.2,3,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.09407269010047416,0.011704955372285362
1.2,5,False,True,0.0001,0.0,0.15,0.7,0.2,-0.09513504595010447,0.012436468362189422
0.8,3,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.0952294112108626,0.018955614089485557
1.2,5,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.09527508739968926,0.01958971707058239
1.0,5,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.09552668277845341,0.014052507935257466
1.0,8,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.0976711004009009,0.022516898020490353
1.2,3,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.09767215988802797,0.010806104818239893
0.8,5,False,True,0.0001,0.0,0.15,0.7,0.2,-0.09808986599275363,0.014866167129764636
1.0,8,True,True,0.0002,0.0,0.15,0.7,0.2,-0.09877182261288492,0.01449359525863048
1.0,3,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.1002985578691421,0.021954006628716924
1.0,3,True,True,0.0001,0.0,0.15,0.7,0.2,-0.10111865201265567,0.01575764484856425
1.0,5,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.10164292411728576,0.01393822677286208
0.8,3,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.10287361361305963,0.012883404132835188
1.2,8,True,True,0.0002,0.0,0.15,0.7,0.2,-0.1035633497955769,0.01583854248746812
0.8,5,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.10693089179215626,0.021642488689962845
0.8,8,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.10860877161827161,0.01397299323007099
1.2,8,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.10924528830612093,0.023868546419365415
1.2,3,True,True,0.0001,0.0,0.15,0.7,0.2,-0.1098574930621336,0.01790776961853969
1.0,3,False,True,0.0002,0.0,0.15,0.7,0.2,-0.11124094427239965,0.01696370409535444
1.2,3,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.11137198224887443,0.025871723020624356
1.0,3,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.11638402298541438,0.022325773245735706
1.2,5,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.13089155116146517,0.019082917927600668
0.8,3,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.13446977284593184,0.017855044061933507
1.0,8,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.1345573268235899,0.020540287779833362
1.0,3,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.14008456276427128,0.01967305127328445
0.8,5,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.14832612330015713,0.021441896525564844
1.2,8,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.1551589832740761,0.02305363460068968
1.2,3,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.15731051474417987,0.025292026950071576
1.0,3,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.16140916573989778,0.021648967089158786
